timestamp,coin,price_usd,price_eur,price_gbp,change_24h,volume_24h,market_cap
2025-03-29 18:55:21,bitcoin,82635,75983,63833,-2.0443744776977124,16800250283.213509,1637989952201.1812
2025-03-29 18:55:21,ethereum,1828.23,1681.05,1412.25,-3.621202484048073,12914542401.82003,220262156018.88525
2025-03-29 18:55:21,binancecoin,603.79,555.19,466.41,-2.5389981921892373,841778175.3088281,87997905266.74753
2025-03-29 18:55:21,ripple,2.14,1.97,1.65,-3.0282873328257667,3349116218.326915,124146172480.94803
2025-03-29 18:55:21,cardano,0.673353,0.619147,0.520144,-4.54987115641335,617337664.3112717,24182746097.145718
2025-03-29 18:55:21,solana,124.42,114.4,96.11,-3.885599376977321,2648300738.447785,63588827540.6773
2025-03-29 18:55:21,polkadot,4.04,3.72,3.12,-5.707507937618524,154969077.8906818,6151156566.893912
2025-03-29 18:55:21,dogecoin,0.169452,0.155811,0.130897,-6.004385271582191,1144958540.4237964,25127419060.57802
2025-03-29 18:55:21,avalanche-2,19.67,18.09,15.2,-3.543352887325748,247338382.55489135,8153809396.372638
2025-03-29 18:55:21,chainlink,13.54,12.45,10.46,-5.002736516086519,329881368.75036925,8626498274.205248
2025-03-29 18:55:21,uniswap,5.96,5.48,4.6,-3.573309748285202,133562128.20229314,3573178386.969264
2025-03-29 18:55:21,aave,167.86,154.35,129.67,-4.378153597548007,299252107.19839907,2531270620.6754036
2025-03-29 18:55:21,stellar,0.267573,0.246033,0.206692,-2.449336676324678,134757008.25471336,8225166149.427262
2025-03-29 18:55:21,cosmos,4.24,3.9,3.27,-6.831667442815076,108351055.7193112,1871671482.9692714
2025-03-29 18:55:21,monero,215.8,198.43,166.7,-0.9165494134588364,40953659.88450001,3979963987.819714
